Type,n,p,Accuracy,Time
Var_P,500,20,0.7033333333333334,88.00948476791382
Var_P,500,50,0.7166666666666667,119.62380909919739
Var_P,500,100,0.77,187.69100737571716
Var_P,500,150,0.76,257.7104320526123
Var_N,500,20,0.6866666666666666,40.17547130584717
Var_N,1000,20,0.73,174.36073756217957
Var_N,2000,20,0.7433333333333333,638.6466915607452
Var_N,3000,20,0.7266666666666667,3430.2193579673767
Var_N,4000,20,0.73,3205.181051492691
